year;country;number
1997;Thailand;1
1998;Lebanon;1
1999;Brazil;1
1999;China;1
1999;Colombia;1
1999;Germany;1
1999;Switzerland;1
1999;United Kingdom;1
2000;Brazil;1
2000;France;1
2000;Japan;3
2000;Switzerland;1
2000;United Kingdom;1
2001;Argentina;1
2001;Australia;1
2001;Belgium;1
2001;Bermuda;1
2001;Brazil;4
2001;Canada;7
2001;Chile;1
2001;China;11
2001;Colombia;1
2001;Denmark;1
2001;Egypt;1
2001;France;9
2001;Germany;13
2001;Greece;1
2001;India;3
2001;Ireland;1
2001;Israel;3
2001;Italy;8
2001;Japan;13
2001;Malaysia;5
2001;Mexico;8
2001;Norway;2
2001;Philippines;2
2001;Portugal;1
2001;Russia;5
2001;Saudi Arabia;3
2001;South Africa;2
2001;South Korea;2
2001;Spain;5
2001;Sweden;5
2001;Switzerland;7
2001;Taiwan;2
2001;Thailand;1
2001;Turkey;3
2001;United Arab Emirates;1
2001;United Kingdom;10
2001;United States of America;179
2001;Venezuela;2
2002;Argentina;1
2002;Australia;1
2002;Bahamas;1
2002;Belgium;2
2002;Bermuda;1
2002;Brazil;4
2002;Canada;8
2002;Chile;1
2002;China;10
2002;Colombia;1
2002;Denmark;1
2002;France;11
2002;Germany;13
2002;India;3
2002;Ireland;1
2002;Israel;2
2002;Italy;7
2002;Japan;12
2002;Malaysia;4
2002;Mexico;7
2002;Norway;1
2002;Philippines;4
2002;Russia;6
2002;Saudi Arabia;4
2002;South Africa;2
2002;South Korea;1
2002;Spain;4
2002;Sweden;3
2002;Switzerland;12
2002;Taiwan;1
2002;Thailand;2
2002;Turkey;4
2002;United Arab Emirates;1
2002;United Kingdom;12
2002;United States of America;172
2002;Venezuela;2
2003;Argentina;1
2003;Australia;1
2003;Austria;1
2003;Bahamas;1
2003;Belgium;2
2003;Bermuda;1
2003;Brazil;2
2003;Canada;10
2003;Chile;1
2003;China;8
2003;Colombia;1
2003;Denmark;1
2003;France;10
2003;Germany;20
2003;India;6
2003;Ireland;1
2003;Israel;2
2003;Italy;6
2003;Japan;10
2003;Malaysia;4
2003;Mexico;6
2003;Netherlands;2
2003;Norway;1
2003;Philippines;2
2003;Russia;11
2003;Saudi Arabia;4
2003;South Africa;2
2003;South Korea;1
2003;Spain;5
2003;Sweden;2
2003;Switzerland;14
2003;Taiwan;1
2003;Thailand;1
2003;Turkey;3
2003;United Arab Emirates;1
2003;United Kingdom;12
2003;United States of America;164
2003;Venezuela;2
2004;Argentina;1
2004;Australia;3
2004;Austria;3
2004;Bahamas;1
2004;Belgium;2
2004;Bermuda;1
2004;Brazil;4
2004;Canada;12
2004;Chile;1
2004;China;14
2004;Colombia;1
2004;Denmark;1
2004;France;12
2004;Germany;27
2004;India;8
2004;Ireland;1
2004;Israel;4
2004;Italy;7
2004;Japan;13
2004;Malaysia;6
2004;Mexico;6
2004;Netherlands;2
2004;Norway;4
2004;Philippines;2
2004;Portugal;1
2004;Russia;18
2004;Saudi Arabia;4
2004;South Africa;2
2004;South Korea;1
2004;Spain;6
2004;Sweden;5
2004;Switzerland;15
2004;Taiwan;4
2004;Thailand;1
2004;Turkey;4
2004;United Arab Emirates;1
2004;United Kingdom;15
2004;United States of America;203
2004;Venezuela;2
2005;Argentina;1
2005;Australia;4
2005;Austria;3
2005;Bahamas;1
2005;Belgium;2
2005;Brazil;7
2005;Canada;12
2005;Cayman Islands;1
2005;Chile;1
2005;China;16
2005;Colombia;1
2005;Denmark;1
2005;Egypt;1
2005;France;15
2005;Germany;33
2005;India;8
2005;Indonesia;1
2005;Ireland;1
2005;Israel;5
2005;Italy;7
2005;Japan;14
2005;Kazakhstan;3
2005;Malaysia;7
2005;Mexico;7
2005;Netherlands;3
2005;Norway;4
2005;Philippines;3
2005;Poland;2
2005;Portugal;1
2005;Russia;25
2005;Saudi Arabia;5
2005;South Africa;2
2005;South Korea;2
2005;Spain;8
2005;Sweden;5
2005;Switzerland;15
2005;Taiwan;4
2005;Thailand;2
2005;Turkey;7
2005;Ukraine;2
2005;United Arab Emirates;1
2005;United Kingdom;20
2005;United States of America;254
2005;Venezuela;2
2006;Argentina;1
2006;Australia;5
2006;Austria;3
2006;Bahamas;1
2006;Belgium;1
2006;Brazil;11
2006;Canada;14
2006;Cayman Islands;1
2006;Chile;1
2006;China;25
2006;Colombia;1
2006;Czech Republic;1
2006;Denmark;1
2006;Egypt;2
2006;France;17
2006;Germany;32
2006;India;17
2006;Indonesia;1
2006;Ireland;2
2006;Israel;6
2006;Italy;10
2006;Japan;16
2006;Kazakhstan;4
2006;Kuwait;2
2006;Malaysia;7
2006;Mexico;7
2006;Netherlands;3
2006;New Zealand;1
2006;Norway;4
2006;Philippines;3
2006;Poland;3
2006;Portugal;1
2006;Russia;32
2006;Saudi Arabia;9
2006;South Africa;2
2006;South Korea;3
2006;Spain;8
2006;Sweden;5
2006;Switzerland;15
2006;Taiwan;4
2006;Thailand;2
2006;Turkey;15
2006;Ukraine;2
2006;United Arab Emirates;3
2006;United Kingdom;25
2006;United States of America;282
2006;Venezuela;2
2007;Argentina;1
2007;Australia;9
2007;Austria;3
2007;Bahamas;1
2007;Belgium;1
2007;Bermuda;1
2007;Brazil;13
2007;Canada;17
2007;Cayman Islands;1
2007;Chile;2
2007;China;41
2007;Colombia;1
2007;Cyprus;1
2007;Czech Republic;1
2007;Denmark;1
2007;Egypt;4
2007;France;16
2007;Georgia;1
2007;Germany;34
2007;India;29
2007;Indonesia;1
2007;Ireland;2
2007;Israel;7
2007;Italy;10
2007;Japan;18
2007;Kazakhstan;7
2007;Kuwait;2
2007;Lebanon;2
2007;Malaysia;11
2007;Mexico;8
2007;Netherlands;3
2007;New Zealand;2
2007;Norway;4
2007;Philippines;3
2007;Poland;3
2007;Portugal;1
2007;Romania;1
2007;Russia;44
2007;Saudi Arabia;9
2007;South Africa;2
2007;South Korea;7
2007;Spain;12
2007;Sweden;5
2007;Switzerland;17
2007;Taiwan;6
2007;Thailand;2
2007;Turkey;18
2007;Ukraine;5
2007;United Arab Emirates;4
2007;United Kingdom;32
2007;United States of America;317
2007;Venezuela;2
2008;Argentina;1
2008;Australia;12
2008;Austria;3
2008;Bahamas;1
2008;Belgium;1
2008;Brazil;15
2008;Canada;18
